Id,SalePrice
2658,126015.00927751056
2718,158492.71070420663
2414,232742.1694287853
1989,98353.76175905109
625,176722.76078618682
333,91253.38729058659
1327,98735.76306060971
858,156486.00860162455
95,175126.22979514432
1568,167606.43362651215
2482,152174.6734574708
1364,115045.40618533218
2584,150186.15983892826
818,313903.02127292485
2673,144143.14994984027
2089,120190.84260675161
1297,148526.13291192593
790,114918.32329696907
2616,176481.74751503355
720,169137.2946183148
222,161496.1511883607
557,130640.34593382222
1148,182613.078238978
2766,160123.71515508092
534,184544.40876037674
1452,133792.40636698686
630,117495.10988701612
2648,107861.1629623784
125,169143.34609416296
1904,63570.22529618995
1670,112682.56056954796
756,95243.13202705486
717,186955.71269325432
1032,146832.12627130977
852,228764.23385875497
1731,178921.5062362383
2639,114458.8276784937
2071,92082.1970895523
1267,126811.30420654277
1851,187596.65577297698
567,158338.8795650727
2439,201722.89860806376
1898,153289.21217680088
647,164212.8761651912
2256,212061.49261448506
979,93822.28455792664
1444,233137.30300107738
2485,117597.17013037282
157,137222.44082177882
88,114922.57037450724
2003,101658.97213526875
186,207490.1511000086
1425,238280.7636713064
2695,119323.86998759833
738,103888.08685728484
395,168803.39751795706
1353,181240.41076476657
1878,143894.83634455348
390,158112.69771831293
1456,239746.43523484064
1103,281361.97306145047
1387,114023.55844665358
2070,140204.03254625865
1199,171177.2064153018
2479,176578.53051354276
501,288279.07909176155
2362,92168.45179799212
1718,208639.1731714125
2188,72644.23545502475
1483,155423.0956950043
2557,92942.16016324375
437,377526.58242455166
2224,181944.2620731167
1628,174578.91051082665
397,145382.64285336743
587,173272.8635298683
2182,418606.88732645474
971,136047.46890541978
2611,140340.326434116
1887,103351.44773112996
2399,359404.33487461373
2148,193793.3215485954
304,123322.16330995188
1997,120038.15991871861
2817,97007.96853979373
1431,209378.7247833362
427,342521.56091544236
263,134093.71448847651
598,158883.04581105412
2895,199705.52709013864
687,144554.34955411276
1822,140247.9002900015
2191,94421.0500241796
179,121393.51158337269
1009,221858.97438804412
2010,127207.3092915807
1991,129883.28264282912
1411,189309.53081233916
1721,241466.20386968227
1144,199540.82137408984
593,233854.22462360846
575,303826.4324480943
1249,165982.99983841175
1604,121819.29005867944
1064,445659.07314490486
1923,149768.10173229192
1988,114961.66811686066
2325,171539.00748970287
114,207061.09479226675
2700,169243.28253959524
217,142816.3931417769
343,167826.53394076164
386,213483.36331292006
2005,99797.38685010727
2908,134001.03231511422
1814,237287.3244759655
2446,417363.5903583818
208,142387.6290301783
1679,104951.99865880831
822,302540.5429161945
6,197587.83232416285
1781,359312.4110060849
2397,300392.20995150146
2340,295378.0974966561
1618,180736.1162295355
2843,137177.93370414316
1061,381696.1285888717
2786,132316.9181675866
1935,136297.43933453786
1341,106768.4860112146
521,260701.24774374955
2136,128175.2509324985
996,210994.2542818832
227,143493.684769151
135,175544.8473457025
1167,158272.22155661508
294,227007.18464048053
1776,205493.0125098884
540,165147.92370513157
1717,216466.8479525153
2303,129190.61604403588
116,191337.36366733222
127,142599.93346568372
1371,126038.94878042418
1014,130250.11841656233
1507,103990.42815582693
702,130368.82372154773
750,138320.92056891066
261,157768.3303989171
1559,59533.31043968934
577,201855.65956407855
2812,194527.3867719996
2080,153171.75486473838
1368,101751.60143172264
2376,122562.14365779344
659,109433.95699269969
1235,137839.55603585858
332,81066.62520848408
1917,144679.48559931753
2094,254527.01790871608
1460,265311.7465866935
1471,224783.50990482923
1509,116863.02811040876
1922,125814.49405634544
433,407969.8358593164
460,247945.34441009833
1116,247741.49635642782
1137,170479.11564500336
53,176675.07250332923
2354,262431.05214067973
1475,203863.7831131167
1761,454399.61665539216
842,142765.72600385474
2739,144802.39741452492
2509,151149.94688679965
1007,199374.16579456403
2610,178149.07501980028
1952,97463.71630311383
2719,161151.6595729765
2921,87351.12691498281
1966,147227.00508034465
292,117309.643898962
1204,181060.3681710034
1829,259747.2479462721
2419,187811.0583081619
391,153085.21084227096
798,117756.09407248553
481,206122.39747758795
193,178101.3239897633
555,123285.74330529224
899,63194.980912456835
2357,198628.6916175303
328,132999.34193785462
1356,120670.10417991721
1154,110258.56615318112
1730,171092.67290386406
2249,165199.64114586692
1119,309942.0813407441
2856,129973.71477037904
1394,119496.710360989
2587,121446.82158570523
61,288571.75265326095
2661,157122.43688265927
2711,133303.78931199817
1147,178455.18140303143
757,115034.32891009562
2623,99084.3742022471
2378,136441.90434246106
1413,133575.21253831382
1722,235799.013540449
1112,217655.41682334623
1623,188801.22513398994
1201,192798.68142969027
1513,115350.57000666851
957,453009.3334098829
1171,245329.36278521115
1145,195387.34966295178
2726,217393.71859809296
703,154717.3143682001
760,95033.97596018405
1964,163914.24069799078
2512,187800.25884431074
159,133667.27529385244
1281,169006.69787020094
468,184865.6630720987
290,133645.33717058468
665,105877.66650776833
1463,258077.5763421005
1792,219618.8527831717
923,144493.79810641104
500,241550.21528987164
